gml_id,ust_katego,alt_katego,ad,resim,detay,geojson
bursa_tarihimekanlar.1,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MURADİYE CAMİİ,"/src/assets/muradiye.png","Bursa Muradiye Camii, 15. yüzyılın ilk yarısında Bursa'da Osmanlı padişahı II. Murad tarafından yaptırılmış cami.
Bursa’da Osmanlı padişahları adına yapılan camilerin sonuncusudur. Caminin dış cephesindeki taş ve tuğla işçiliği, kündekari tekniğiyle yapılmış ahşap kapısı, iç mekanlardaki İznik çinileri ve Edirnekâri tavan süslemeleri sanat tarihi açısından önem arz eder.","{""type"":""Point"",""coordinates"":[29.046993381,40.192169921]}"
bursa_tarihimekanlar.2,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HAMZABEY CAMİİ,"/src/assets/hamzabey.jpg","Çelebi Sultan Mehmet’in baş vezirliğini yapan, Fatih Sultan Mehmet’in elçisi olarak gittiği Romanya’da şehit olan Hamza Bey tarafından yaptırılmıştır. Fatih devrinde mescit olarak yapılmış, 1614 yılında kazasker Muallim Zade Ahmet Efendi tarafından minber konulması ile camiye dönüştürülmüştür. 1826 ve 1854 yıllarında meydana gelen depremler nedeniyle tamirat görmüş, Fatih devrinde Bursa’da yapılan eserlerin en büyüğü ve en önemli külliyesidir. Medresesi ve imareti bugün mevcut değildir. Caminin duvarları üç sıra tuğla, bir sıra taş örülmüş; taş aralarına dikey tek tuğla konmuştur. Büyük kubbe kasnağı tuğladan, kanat kubbelerinin kasnakları; duvarlarda olduğu gibi taş aralarına ikişer, üçer dikey tuğla yerleştirilerek örülmüştür. Güney duvarındaki pencere kemerleri testere dişi formunda, tuğla malzeme ile yapılmıştır. Duvarlar üç, kubbeler iki sıra kirpi saçaklıdır. Kaidesi üç sıra tuğla, bir sıra kesme taş ile örgülü olan minareye son cemaat yerinin doğusundaki yer alan bir kapıdan çıkılmaktadır. Üçgen satıhlarla, silindirik tuğla gövdeye geçişin sağladığı minare, sonradan camiye eklenmiş ve kaideden şerefeye kadar tamir edilmiştir.","{""type"":""Point"",""coordinates"":[29.042199313,40.193258508]}"
bursa_tarihimekanlar.3,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ULU CAMİ,"/src/assets/ulucamii.jpg","Bursa Ulu Cami, Orhan Gazi Parkı'nın bulunduğu geniş bir alana, Yıldırım Bayezid zamanında, 1396-1400 yılları arasında yapılmıştır. Osmanlı camileri arasında çok kubbeli anıtsal yapıların ilkidir. Ulu Cami’nin on iki büyük dört köşeli paye üzerine oturan yirmi kubbesi bulunmaktadır. Yıldırım Bayezid’in 1396 Niğbolu zaferinden sonra Ulu Cami inşaatına başlanmıştır. Caminin inşaatı bittikten sonra ilk namazı,  aralarında Yıldırım Bayezid, Molla Fenari, Emir Sultan’ın  da olduğu cemaate Somuncu Baba kıldırmıştır. Ulu Cami’nin ilk imamı, Mevlid’in yazarı Süleyman Çelebi'dir.","{""type"":""Point"",""coordinates"":[29.062311525,40.184736569]}"
bursa_tarihimekanlar.4,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,BALİBEY HAN,"/src/assets/balibey.jpg","15. yüzyıl sonlarında Fatih Sultan Mehmet döneminin, Niğbolu Sancak Beyi Hamza Beyin oğlu, Bali Bey tarafından yaptırılan han, Osmanlı İmparatorluğu'nun ilk üç katlı hanı olma özelliği taşınmaktadır. Kapalı Çarşı'daki ticari faaliyet için kent dışından gelen kafilelere hizmet etmesi amacıyla, çarşının karşısında bulunan bir alan üzerine yaptırılan hanın içerisinde 64 oda bulunmaktadır. Bali Bey Han'ın 1950'li yıllarda bazı bölümlerinin sığınak, 1970'li yıllarda ise bir bölümünün kahvehane olarak kullanıldığı bilinmektedir. Bali Bey Han restore edildikten sonra 2008 yılının Mart ayında kent ile buluşturulmuştur.","{""type"":""Point"",""coordinates"":[29.059058481,40.185894374]}"
bursa_tarihimekanlar.5,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,PİRİNÇ HAN,"/src/assets/pirinçhan.jpg","Pirinç Han, II. Beyazıt tarafından, 1508 yılında, İstanbul'daki cami ve imaretine gelir sağlamak amacıyla yaptırılmıştır. Pirinç Hanın mimarları; Sultan Şah oğlu Yakup Şah bin Sultan Şah ve Abdullah oğlu Ali'dir. 1855 depreminde zarar gören han, uzun süren restorasyon sonrasında 2002 yılında alışveriş merkezi olarak açılmıştır. İki katlı olan Hanın üst katında 40, alt katında 38 olmak üzere 78 odası vardır.","{""type"":""Point"",""coordinates"":[29.06061906,40.186675566]}"
bursa_tarihimekanlar.6,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİR HAN,"/src/assets/emirhan.jpg","Orhan Bey tarafından Bursa’nın fethinden sonra yaptırılan Emir Han, Ulu Camii’nin kuzeydoğusundadır. 1522 yılına kadar Bezzaziye Hanı, Eski Bezazistan veya Bey Hanı da denilen han; nihayetinde Emir Bey Hanı ismini almıştır. Çeşitli devirlerde yangın ve depremlerle zarar gören han, 1958 yangınından sonra yeniden onarılmıştır. Kesme taş ve tuğla ile yapılmış iki katlı hanın odalarının önü revaklıdır. Alt katlar eşya depoları olarak yapılmış olup, üst kattaki odalar pencereli ve ocaklıdır. Hanın alt katında 36, üst katında 37 olmak üzere toplamda 73 odası bulunmaktadır.","{""type"":""Point"",""coordinates"":[29.06266318,40.185483991]}"
bursa_tarihimekanlar.7,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,FİDAN HAN,"/src/assets/fidanhan.jpg","Fatih Sultan Mehmet'in Sadrazamı Mahmut Paşa tarafından yaptırılan han, Mahmut Paşa veya Fidan Han olarak da bilinmektedir. İki katlı ve odalarının önü revaklı hanın avlusunda 12 köşeli bir şadırvanın üzerinde 12 köşeli mescit bulunmaktadır. Bursa’nın merkezinde açık çarşı içinde bulunan Han, son yıllarda restorasyonu yapılarak içinde barındırdığı dükkanlarla hizmete açılmıştır. Han'ın avlusu çay bahçesi olarak kullanılmaktadır.","{""type"":""Point"",""coordinates"":[29.064449413,40.186072868]}"
bursa_tarihimekanlar.8,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,GEYVE HAN,"/src/assets/geyve.jpg","Lonca Hanı diye de bilinen Han, Hacı İvaz Paşa tarafından XV. yüzyılda yaptırılıp, Yeşil Cami'ye gelir temin etmek için Sultan I. Mehmet’e hediye edilmiştir. Demirkapı Çarşısı'nın içinde bulunmaktadır. İki kapısı bulunan hanın batıdaki kapısının tam karşısında mescit bulunmaktadır. İki katlı olan Hanın alt katında 26, üst katında 30 olmak üzere 56 odası vardır. Han, tuğla ve moloz taş ile inşa edilmiştir.","{""type"":""Point"",""coordinates"":[29.063349974,40.186106866]}"
bursa_tarihimekanlar.9,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ORHAN BEY CAMİİ,"/src/assets/orhanbeycamii.jpg","1326 Yılında Orhan Gazi Bursa’yı aldığında kent, Kale içindeki yerleşmeden ibaretti. Daha sonraki Osmanlı sultanlarının da benimsediği bir kentleşme modeli ilk kez Sultan Orhan tarafından 1339 yılında uygulanmış ve kent duvarlarının dışında, o dönemde Çakır hamam’dan Set başına kadar uzanan geniş Gökdere yatağının fundalık ve bataklık zemininde cami, medrese, imaret, hamam ve handan (bedesten) oluşan bir külliye yaptırılmıştır. Ters T planlı camilerden olan Orhan Camisi’nin giriş eyvanın üzeri ufak bir kubbeyle, eyvanın iki yanında odaların üzeri ise tonozla örtülüdür. Cami’nin ana ibadet mekanının üzerinde sekizgen kasnağa oturan iki kubbe ile yandaki eyvanların üzerinde daha küçük kubbeler bulunmaktadır. Duvarları üç sıra tuğla ve bir sıra kesme taş ile örülen son cemaat bölümünün önünde kesme taştan yapılmış altı adet ayak, sivri tuğla kemerlerle birbirine bağlanmıştır. Son cemaat yerinin yan cephelerinde ise ana kemerin ortasında, Bizans taklidi başlıkları olan birer sütun kullanılarak ikişer kemer elde edilmiştir. Son cemaat yerinin üzeri ortada üç kubbe, iki yandan tonozla örtülüdür.","{""type"":""Point"",""coordinates"":[29.064440027,40.18478764]}"
bursa_tarihimekanlar.10,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YEŞİL TÜRBE,"/src/assets/yesil.jpg","Yeşil Külliye’sinin kuşkusuz en tanınmış yapısı Çelebi Mehmed için yaptırılan ve cephelerini süsleyen yeşil, turkuaz kabartma çinilerin rengiyle anılan Yeşil Türbe’dir. Yıldırım Beyazid’in oğlu, Osmanlı padişahlarının beşincisi Çelebi Mehmed tarafından 1421 yılında yaptırılmıştır. Yeşil Türbe, Yeşil Külliye içerisinde bulunan Yeşil Cami’nden yüksektedir. Bu alışıla gelmiş bir durum değildir. Yeşil Türbe’nin Yeşil Cami’den yüksek olmasının sebebi, Osmanlı'nın zor döneminde dosta düşmana karşı “ayaktayız” mesajını vermek içindir. Timur yenilgisi ve kardeşler arasındaki iktidar mücadelesi sonrası Çelebi Mehmed’in Osmanlı’nın yıkılmadığını ve eskisinden daha parlak eserler yapabileceğini göstermek amacıyla Yeşil Türbe gösterişli yapılmıştır. Mimarı Hacı İvaz Paşa’dır. Nakkaşları Ali bin İlyas Ali, Mahmud el Mecnun ve Ali bin Hacı Ahmed Tebrizi’dir.","{""type"":""Point"",""coordinates"":[29.075370664,40.182391592]}"
